Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Набережные Челны,Региональный,2021,145,69,47.59,46.74
Зеленодольск,Школьный,2015,60,17,ошибка,81.13
Лениногорск,Муниципальный,2023,90,17,18.89,63.9
Кукмор,Муниципальный,2015,197,35,17.77,92.23
Бавлы,Заключительный,2015,ошибка,0,,73.98
Альметьевск,Региональный,2021,118,46,ошибка,42.54
Менделеевск,Муниципальный,2015,167,37,22.16,87.23
Тетюши,Школьный,2024,46,21,45.65,88.96
Бугульма,Муниципальный,2020,,0,,62.39
Кукмор,Заключительный,2020,,0,ошибка,81.41
Елабуга,Муниципальный,2015,39,18,46.15,84.22
Зеленодольск,Региональный,2021,133,49,36.84,94.02
Бугульма,Муниципальный,2017,190,0,,59.81
Заинск,Региональный,2016,51,14,27.45,-1
Чистополь,Региональный,2020,37,1,2.7,85.22
Тетюши,Муниципальный,2022,24,8,33.33,57.36
Буинск,Заключительный,2023,80,5,6.25,
Менделеевск,Школьный,2018,82,,,96.49
Заинск,Школьный,2019,56,22,39.29,42.42
Бугульма,Муниципальный,2016,,0,,74.94
Балтаси,Школьный,2019,122,58,47.54,-1
Заинск,Школьный,2021,19,8,42.11,70.07
Кукмор,Муниципальный,2024,13,4,30.77,70.46
Заинск,Муниципальный,2016,80,34,42.5,77.42
Елабуга,Заключительный,2022,121,24,19.83,64.45
Кукмор,Муниципальный,2015,50,18,ошибка,53.66
Тетюши,Региональный,2023,161,59,36.65,80.67
Заинск,Региональный,2015,107,13,12.15,77.56
Лениногорск,Школьный,2020,97,46,47.42,97.48
Кукмор,Заключительный,2015,148,29,19.59,91.04
Казань,Муниципальный,2018,ошибка,0,,49.23
Тетюши,Муниципальный,2019,36,14,38.89,89.22
Апастово,Муниципальный,2020,90,,,ошибка
Елабуга,Заключительный,2019,77,20,25.97,81.9
Балтаси,Муниципальный,2017.0,30,,,95.29
Агрыз,Муниципальный,2023,ошибка,0,ошибка,55.68
Арск,Муниципальный,2017,,0,,-1
Бавлы,Заключительный,2017,,0,,86.49
Азнакаево,Региональный,2022.0,182,69,37.91,89.95
Елабуга,Школьный,2018,72,2,2.78,60.23
Зеленодольск,Муниципальный,2022,159,31,19.5,87.67
Арск,Заключительный,2024,117,48,41.03,
Лениногорск,Муниципальный,2019,19,4,21.05,90.37
Казань,Заключительный,2018,,0,,67.5
Апастово,Заключительный,2019,65,0,,74.88
Арск,Школьный,2015,126,50,39.68,94.11
Зеленодольск,Муниципальный,2020.0,30,2,ошибка,76.05
Апастово,Школьный,2021,76,8,10.53,
Агрыз,Школьный,2019,50,22,44.0,47.41
Чистополь,Заключительный,2022,148,19,12.84,-1
Кукмор,Школьный,2018,65,22,33.85,52.03
Тетюши,Муниципальный,2019,124,40,32.26,55.52
Апастово,Муниципальный,2015,150,60,40.0,91.15
Альметьевск,Региональный,2024,70,18,25.71,74.94
Альметьевск,Муниципальный,2017,34,10,29.41,83.52
Апастово,Школьный,2020,34,16,ошибка,-1
Чистополь,Муниципальный,2023,72,34,ошибка,81.01
Набережные Челны,Школьный,2015.0,93,ошибка,ошибка,42.67
Набережные Челны,Заключительный,2023,127,37,29.13,98.96
Альметьевск,Школьный,2019,,0,,74.42
Казань,Муниципальный,2023,13,5,ошибка,98.01
Агрыз,Региональный,2023,149,1,0.67,54.68
Азнакаево,Региональный,2022,160,1,ошибка,71.06
Арск,Муниципальный,2016,159,,,77.93
Мамадыш,Заключительный,2017,60,,ошибка,68.77
Апастово,Заключительный,2020,200,,,42.54
Тетюши,Заключительный,2016,190,,,62.06
Буинск,Заключительный,2022,10,5,50.0,62.91
Менделеевск,Заключительный,2016,,ошибка,,81.64
Азнакаево,Региональный,2021,112,38,33.93,48.68
Азнакаево,Муниципальный,2020,112,51,ошибка,-1
Менделеевск,Школьный,2022,62,26,41.94,42.37
Лениногорск,Школьный,2021,102,0,,46.07
Елабуга,Региональный,2015,160,21,13.12,89.32
Агрыз,Муниципальный,2021,11,0,,ошибка
Буинск,Школьный,2020,170,26,15.29,57.21
Апастово,Заключительный,2023,97,5,5.15,76.18
Агрыз,Заключительный,2023,93,43,46.24,65.38
Тетюши,Заключительный,2015,100,18,18.0,75.14
Агрыз,Заключительный,2017,47,10,ошибка,47.57
Азнакаево,Заключительный,2023,63,15,23.81,46.02
Тетюши,Региональный,2020,188,33,17.55,74.28
Арск,Школьный,2024,10,5,ошибка,51.32
Лениногорск,Региональный,2017,,0,,61.1
Альметьевск,Муниципальный,2015,131,9,6.87,60.05
Елабуга,Школьный,2021,69,11,15.94,59.68
Лениногорск,Школьный,2024,23,,,49.14
Зеленодольск,Региональный,2022,32,1,3.12,ошибка
Бугульма,Региональный,2017,24,2,8.33,-1
Лениногорск,Муниципальный,2024,17,6,35.29,80.86
Балтаси,Муниципальный,2015,66,22,ошибка,74.66
Бавлы,Региональный,2024,23,6,26.09,53.9
Зеленодольск,Муниципальный,2021,115,18,15.65,70.73
Бугульма,Школьный,2018,105,4,3.81,64.32
Кукмор,Школьный,2019,23,9,39.13,51.84
Мамадыш,Заключительный,2018,113,47,41.59,52.3
Зеленодольск,Региональный,2015,171,,,65.4
Азнакаево,Региональный,2024,32,10,ошибка,87.5
Набережные Челны,Заключительный,2022,ошибка,0,,82.11
Агрыз,Муниципальный,2016,44,14,ошибка,73.85
Чистополь,Региональный,2017,124,40,32.26,56.95
Бугульма,Школьный,2015,148,35,23.65,66.41
Буинск,Заключительный,2021,17,4,23.53,69.64
Азнакаево,Заключительный,2021,116,19,ошибка,40.55
Набережные Челны,Школьный,2023.0,156,,,
Арск,Региональный,2024,ошибка,0,,48.51
Буинск,Заключительный,2018,10,2,20.0,66.87
Альметьевск,Школьный,2018,145,,ошибка,63.43
Чистополь,Региональный,2018,138,2,1.45,48.84
Чистополь,Региональный,2017,150,9,6.0,43.23
Мамадыш,Школьный,2015,,0,ошибка,96.8
Балтаси,Региональный,2015.0,65,15,23.08,94.57
Менделеевск,Муниципальный,2019,74,17,22.97,84.14
Мамадыш,Заключительный,2023,141,16,11.35,46.13
Мамадыш,Школьный,2019,111,7,6.31,80.53
Буинск,Школьный,2017,151,5,ошибка,62.24
Азнакаево,Региональный,2016,125,61,48.8,87.29
Набережные Челны,Школьный,2023,82,31,37.8,69.16
Набережные Челны,Региональный,2024,178,31,17.42,82.93
Бавлы,Заключительный,2024,,0,ошибка,73.69
Заинск,Школьный,2016,ошибка,0,,52.97
Балтаси,Заключительный,2021,10,0,,54.61
Тетюши,Муниципальный,2022,,0,,93.16
Апастово,Муниципальный,2023,10,1,10.0,41.11
Азнакаево,Школьный,2024,68,24,ошибка,40.11
Мамадыш,Региональный,2015,37,11,29.73,88.84
Арск,Заключительный,2020,117,,,73.05
Набережные Челны,Региональный,2017.0,50,3,ошибка,57.26
Бугульма,Муниципальный,2023,61,3,4.92,74.94
Арск,Муниципальный,2020,197,49,24.87,45.08
Альметьевск,Заключительный,2016.0,27,7,ошибка,ошибка
Бавлы,Муниципальный,2018,,0,ошибка,59.54
Заинск,Региональный,2015,ошибка,0,,ошибка
Буинск,Заключительный,2018,116,41,35.34,59.97
Лениногорск,Региональный,2024.0,120,10,8.33,88.87
Бугульма,Региональный,2022,52,17,32.69,77.27
Кукмор,Заключительный,2020,179,34,18.99,ошибка
Мамадыш,Региональный,2021,133,3,2.26,85.72
Агрыз,Заключительный,2019,199,55,27.64,80.31
Чистополь,Региональный,2022,65,21,32.31,44.02
Азнакаево,Заключительный,2020,105,31,ошибка,88.96
Бугульма,Заключительный,2015,154,,,89.9
Чистополь,Региональный,2021,ошибка,0,,93.36
Менделеевск,Школьный,2018,117,27,23.08,55.48
Балтаси,Региональный,2020,ошибка,0,,91.67
Чистополь,Муниципальный,2023,,0,,46.41
Бугульма,Муниципальный,2024,,ошибка,,-1
Казань,Региональный,2015,76,23,30.26,73.46
Альметьевск,Региональный,2017.0,109,0,,66.26
Азнакаево,Региональный,2019,60,,,52.15
Бугульма,Школьный,2024,185,,,92.73
Альметьевск,Муниципальный,2022,36,18,ошибка,92.05
Кукмор,Школьный,2020,57,23,40.35,82.04
Чистополь,Заключительный,2017,86,39,45.35,85.88
Альметьевск,Региональный,2017,56,3,5.36,50.46
Менделеевск,Заключительный,2015,60,,,58.23
Альметьевск,Заключительный,2021,71,19,26.76,86.51
Казань,Региональный,2023,,0,,77.5
Балтаси,Заключительный,2017,165,73,44.24,59.68
Кукмор,Заключительный,2017,106,40,37.74,-1
Тетюши,Муниципальный,2023,86,6,6.98,92.2
Менделеевск,Региональный,2020,74,12,16.22,62.94
Набережные Челны,Школьный,2023,57,5,8.77,97.02
Мамадыш,Муниципальный,2022,35,5,ошибка,95.95
Заинск,Школьный,2020,,0,,99.68
Арск,Муниципальный,2018.0,33,8,24.24,92.51
Апастово,Школьный,2019,ошибка,0,,49.37
Казань,Заключительный,2024,,0,,87.89
Казань,Школьный,2022,61,21,34.43,56.28
Казань,Региональный,2023,126,10,7.94,87.08
Балтаси,Региональный,2022,29,10,34.48,78.5
Азнакаево,Школьный,2017,92,,,76.13
Альметьевск,Региональный,2022,95,12,ошибка,70.09
Зеленодольск,Муниципальный,2020,85,9,10.59,88.16
Арск,Региональный,2024,174,84,48.28,44.15
Менделеевск,Школьный,2020,,0,,64.21
Бугульма,Региональный,2022,105,38,36.19,71.05
Альметьевск,Школьный,2018,,0,,74.6
Лениногорск,Школьный,2017,14,0,,60.57
Бугульма,Муниципальный,2022,71,3,4.23,66.69
Чистополь,Заключительный,2019,10,5,50.0,68.82
Менделеевск,Муниципальный,2023,148,32,21.62,75.34
Тетюши,Муниципальный,2015,43,18,41.86,82.38
Казань,Муниципальный,2024,173,,,79.31
Кукмор,Заключительный,2018.0,130,2,1.54,44.39
Казань,Муниципальный,2016,49,2,4.08,94.86
Казань,Заключительный,2021,,0,,
Набережные Челны,Региональный,2017,ошибка,,,-1
Елабуга,Заключительный,2015,,0,,76.96
Чистополь,Школьный,2022,171,73,ошибка,95.08
Зеленодольск,Заключительный,2016,,0,ошибка,62.92
Кукмор,Региональный,2016,96,43,44.79,65.75
Мамадыш,Региональный,2019,75,12,16.0,56.11
Елабуга,Региональный,2018,81,26,32.1,69.33
Азнакаево,Муниципальный,2021,52,25,48.08,54.27
Менделеевск,Школьный,2019,10,2,ошибка,50.99
Бугульма,Региональный,2019,65,15,ошибка,53.84
Елабуга,Заключительный,2017,69,18,26.09,57.83
Арск,Школьный,2017,99,39,39.39,70.88
Агрыз,Заключительный,2023,137,17,12.41,44.97
Альметьевск,Заключительный,2024,135,59,43.7,42.91
Набережные Челны,Муниципальный,2015,71,ошибка,,56.02
Чистополь,Региональный,2024,,0,,97.8
Буинск,Региональный,2020,10,5,50.0,44.41
Арск,Региональный,2024,119,,,40.26
Менделеевск,Заключительный,2018.0,34,1,2.94,75.53
Балтаси,Школьный,2022,94,37,39.36,55.97
Тетюши,Школьный,2016.0,96,28,ошибка,87.15
Буинск,Муниципальный,2024,90,42,46.67,87.51
Тетюши,Заключительный,2024,51,7,13.73,62.18
Буинск,Заключительный,2023,80,2,2.5,73.03
Менделеевск,Муниципальный,2021,60,13,21.67,95.59
Арск,Школьный,2021,42,8,ошибка,52.61
Азнакаево,Региональный,2021,10,3,ошибка,53.2
Азнакаево,Муниципальный,2018,135,29,ошибка,47.97
Кукмор,Региональный,2021,175,,,45.9
Менделеевск,Региональный,2018.0,12,6,ошибка,79.33
Менделеевск,Школьный,2021,161,7,ошибка,89.68
Елабуга,Заключительный,2021,119,7,5.88,53.33
Елабуга,Школьный,2023,133,,ошибка,86.76
Кукмор,Школьный,2023,93,,,94.46
Менделеевск,Региональный,2020.0,166,76,45.78,67.84
Бугульма,Школьный,2024,120,30,25.0,75.25
Мамадыш,Муниципальный,2015,182,80,ошибка,44.31
Апастово,Муниципальный,2018,184,58,31.52,88.39
Буинск,Региональный,2016,54,25,ошибка,83.04
Чистополь,Муниципальный,2020,45,4,8.89,83.15
Заинск,Региональный,2016,89,24,26.97,67.74
Тетюши,Муниципальный,2023,158,42,ошибка,85.12
Бугульма,Региональный,2022,198,ошибка,,72.32
Чистополь,Заключительный,2016,44,17,38.64,80.96
Балтаси,Школьный,2022,77,37,48.05,ошибка
Чистополь,Заключительный,2019,134,29,ошибка,71.26
Буинск,Школьный,2020,113,56,49.56,65.83
Тетюши,Школьный,2015,80,,,69.87
Кукмор,Заключительный,2017,19,3,ошибка,95.21
Тетюши,Региональный,2020,90,44,48.89,95.33
Лениногорск,Региональный,2019,,0,,42.54
Бавлы,Муниципальный,2022,58,22,37.93,45.59
Зеленодольск,Муниципальный,2023,98,26,ошибка,45.06
Бугульма,Школьный,2019,26,8,30.77,64.73
Лениногорск,Муниципальный,2022,,0,,54.74
Заинск,Школьный,2023,162,43,26.54,67.9
Кукмор,Школьный,2022,22,9,40.91,63.73
Набережные Челны,Региональный,2020,,0,ошибка,67.31
Арск,Муниципальный,2023,17,1,5.88,
Азнакаево,Региональный,2018.0,60,ошибка,,64.47
Агрыз,Региональный,2022,10,1,10.0,66.59
Альметьевск,Муниципальный,2017,193,80,41.45,
Балтаси,Школьный,2021,112,37,33.04,73.97
Арск,Школьный,2024,107,27,ошибка,91.69
Кукмор,Региональный,2023,18,0,ошибка,44.12
Азнакаево,Школьный,2023,73,15,20.55,91.91
Заинск,Заключительный,2016,70,27,38.57,
Чистополь,Региональный,2015,83,35,42.17,48.88
Кукмор,Школьный,2021,41,16,39.02,44.56
Бавлы,Школьный,2023,193,77,39.9,43.29
Казань,Муниципальный,2020,145,6,4.14,88.42
Елабуга,Муниципальный,2021.0,84,,ошибка,81.73
Зеленодольск,Муниципальный,2016,181,6,ошибка,ошибка
Арск,Муниципальный,2021,80,,,91.86
Бугульма,Муниципальный,2021,50,9,18.0,66.12
Балтаси,Муниципальный,2017,85,19,22.35,58.21
Елабуга,Муниципальный,2015,101,44,43.56,83.38
Азнакаево,Школьный,2023,152,28,ошибка,54.64
Альметьевск,Муниципальный,2017,,0,ошибка,70.34
Зеленодольск,Заключительный,2021,144,51,35.42,72.41
Кукмор,Региональный,2024,139,,ошибка,ошибка
Набережные Челны,Региональный,2015,10,ошибка,ошибка,56.12
Бавлы,Муниципальный,2022,38,12,31.58,82.53
Буинск,Заключительный,2019,160,69,43.12,
Бавлы,Школьный,2021,114,56,49.12,62.09
Лениногорск,Муниципальный,2020,199,34,17.09,94.47
Агрыз,Заключительный,2015,178,34,19.1,74.49
Апастово,Региональный,2020,18,5,27.78,40.09
Альметьевск,Заключительный,2023,146,12,8.22,98.87
Буинск,Муниципальный,2017,195,91,46.67,56.7
Мамадыш,Муниципальный,2019,,0,,57.67
Набережные Челны,Заключительный,2021,10,5,ошибка,72.27
Бавлы,Региональный,2022,54,7,12.96,43.23
Альметьевск,Заключительный,2023,22,10,45.45,59.82
Агрыз,Муниципальный,2017,22,6,27.27,79.54
Менделеевск,Муниципальный,2016,97,ошибка,,87.78
Бугульма,Заключительный,2015,43,9,20.93,58.01
Менделеевск,Школьный,2015,,,,91.98
Мамадыш,Заключительный,2018,,0,ошибка,82.98
Апастово,Школьный,2016,44,19,43.18,77.71
Зеленодольск,Муниципальный,2016,,0,,41.25
Зеленодольск,Заключительный,2018,ошибка,0,,46.7
Апастово,Заключительный,2016,136,4,2.94,65.75
Бугульма,Школьный,2019,56,13,23.21,62.66
Менделеевск,Заключительный,2019,15,5,33.33,97.13
Азнакаево,Муниципальный,2015,96,44,ошибка,59.08
Лениногорск,Региональный,2018,10,3,30.0,41.51
Казань,Заключительный,2016,12,3,25.0,62.48
Лениногорск,Заключительный,2019,177,44,24.86,87.1
Менделеевск,Региональный,2023,,0,,77.38
Арск,Региональный,2022,130,19,14.62,84.81
Буинск,Региональный,2020,49,6,12.24,92.84
Бугульма,Школьный,2023,67,17,25.37,69.19
Арск,Школьный,2018,ошибка,0,,98.55
Зеленодольск,Муниципальный,2020,156,2,1.28,ошибка
Бугульма,Школьный,2021,175,32,18.29,-1
Зеленодольск,Школьный,2016,188,,,40.51
Казань,Региональный,2020,ошибка,0,,40.69
Елабуга,Заключительный,2016,70,26,37.14,96.17
Альметьевск,Заключительный,2016,72,10,13.89,
Лениногорск,Региональный,2022,48,ошибка,,77.23
Менделеевск,Региональный,2018,,,ошибка,
Апастово,Заключительный,2023,25,10,40.0,92.4
Менделеевск,Школьный,2021,20,1,ошибка,57.96
Заинск,Школьный,2017,138,29,21.01,59.69
Лениногорск,Муниципальный,2020,98,12,12.24,76.89
Набережные Челны,Муниципальный,2015,,0,,71.16
Арск,Региональный,2017,113,18,15.93,70.78
Лениногорск,Муниципальный,2024,,0,,57.11
Азнакаево,Региональный,2020,116,50,43.1,63.01
Елабуга,Школьный,2019,95,44,46.32,66.97
Альметьевск,Региональный,2016,73,23,31.51,72.97
Бугульма,Заключительный,2018,25,1,4.0,76.67
Бавлы,Школьный,2016,189,ошибка,,73.27
Зеленодольск,Заключительный,2019,59,,ошибка,
Агрыз,Заключительный,2022,135,53,ошибка,75.57
Агрыз,Региональный,2015,73,20,27.4,54.91
Апастово,Школьный,2019,132,36,27.27,84.67
Бугульма,Школьный,2019,93,11,11.83,90.58
Тетюши,Школьный,2022,187,46,24.6,87.83
Азнакаево,Муниципальный,2023,81,26,32.1,82.8
Агрыз,Муниципальный,2021,176,12,6.82,
Бугульма,Заключительный,2019,47,2,4.26,87.03
Арск,Школьный,2021,197,24,12.18,72.74
Мамадыш,Муниципальный,2020,32,12,37.5,66.98
Бугульма,Муниципальный,2020,15,6,40.0,49.76
Балтаси,Заключительный,2023,188,92,48.94,92.73
Азнакаево,Школьный,2020,164,71,43.29,82.93
Агрыз,Региональный,2016,116,42,36.21,57.86
Балтаси,Муниципальный,2020,194,39,ошибка,58.58
Балтаси,Муниципальный,2017,134,35,26.12,50.69
Зеленодольск,Заключительный,2021,147,22,14.97,94.92
Заинск,Школьный,2024,155,44,28.39,85.31
Заинск,Региональный,2015.0,29,3,10.34,56.39
Мамадыш,Региональный,2024,129,63,48.84,ошибка
Елабуга,Муниципальный,2019,126,47,37.3,58.13
Тетюши,Школьный,2023,181,23,12.71,77.05
Чистополь,Школьный,2020,20,3,ошибка,92.86
Тетюши,Заключительный,2018,119,49,41.18,90.48
Набережные Челны,Региональный,2016,51,ошибка,,74.18
Менделеевск,Региональный,2020,120,53,ошибка,59.72
Набережные Челны,Заключительный,2017,,0,ошибка,52.3
Бугульма,Региональный,2017,90,20,22.22,42.55
Агрыз,Заключительный,2023,101,39,38.61,95.11
Казань,Школьный,2017,149,55,36.91,62.19
Чистополь,Региональный,2023,16,1,6.25,54.05
Зеленодольск,Заключительный,2019,187,89,ошибка,
Набережные Челны,Заключительный,2024,37,5,13.51,62.59
Казань,Региональный,2022,97,14,ошибка,60.8
Заинск,Региональный,2018,96,39,ошибка,81.4
Арск,Региональный,2022,123,10,8.13,78.3
Тетюши,Муниципальный,2022,ошибка,0,,72.49
Балтаси,Муниципальный,2021,110,48,43.64,77.68
Заинск,Заключительный,2021,119,39,32.77,84.31
Набережные Челны,Региональный,2019,161,,,64.62
Буинск,Муниципальный,2016,148,57,38.51,90.42
Альметьевск,Заключительный,2018,100,31,31.0,65.05
Альметьевск,Муниципальный,2022,ошибка,0,,81.03
Зеленодольск,Заключительный,2023,183,,,45.47
Альметьевск,Школьный,2023,,0,,69.39
Арск,Региональный,2023,166,,,62.88
Заинск,Региональный,2017,121,,,66.41
Елабуга,Муниципальный,2023,128,,,84.19
Тетюши,Муниципальный,2023,66,1,ошибка,42.45
Чистополь,Школьный,2023,,0,,71.92
Бугульма,Заключительный,2021,124,7,5.65,68.93
Лениногорск,Региональный,2023,,0,,97.04
Агрыз,Заключительный,2017,175,ошибка,,50.5
Бугульма,Школьный,2024,97,44,45.36,
Балтаси,Муниципальный,2023,155,52,33.55,66.65
Заинск,Региональный,2016,68,15,22.06,80.75
Бавлы,Муниципальный,2022.0,10,0,,96.24
Менделеевск,Региональный,2024,,0,,52.84
Кукмор,Муниципальный,2023,63,31,49.21,-1
Чистополь,Муниципальный,2022,164,73,44.51,77.56
Менделеевск,Заключительный,2022,36,0,,82.28
Лениногорск,Заключительный,2023,153,20,13.07,95.96
Набережные Челны,Региональный,2017.0,14,0,,91.74
Агрыз,Региональный,2022,163,77,47.24,66.57
Менделеевск,Муниципальный,2018,21,4,19.05,57.97
Чистополь,Региональный,2017,31,8,ошибка,84.24
Мамадыш,Школьный,2017,194,51,26.29,74.98
Балтаси,Региональный,2019,30,6,20.0,ошибка
Мамадыш,Школьный,2018,,0,,90.78
Казань,Школьный,2021,18,6,33.33,41.5
Лениногорск,Муниципальный,2019,,0,,47.93
Альметьевск,Заключительный,2019,47,23,48.94,48.17
Балтаси,Муниципальный,2021,42,19,ошибка,76.74
Зеленодольск,Заключительный,2022,29,1,3.45,90.24
Арск,Школьный,2016,132,36,27.27,41.16
Балтаси,Региональный,2022,117,26,22.22,68.99
Елабуга,Заключительный,2016,71,0,,64.51
Менделеевск,Школьный,2022,164,19,11.59,46.08
Менделеевск,Школьный,2017,35,0,,54.32
Бавлы,Региональный,2022,90,11,12.22,70.09
Альметьевск,Заключительный,2016,100,,,52.51
Альметьевск,Муниципальный,2021,61,16,26.23,60.25
Елабуга,Муниципальный,2015,197,,ошибка,86.52
Тетюши,Заключительный,2016,77,32,41.56,72.22
Альметьевск,Школьный,2015,148,44,ошибка,82.54
Балтаси,Школьный,2015,182,1,0.55,98.36
Кукмор,Школьный,2016,32,4,12.5,84.62
Казань,Муниципальный,2022,165,45,27.27,
Лениногорск,Школьный,2024,158,57,36.08,58.64
Менделеевск,Школьный,2015,151,64,42.38,-1
Набережные Челны,Школьный,2024,,0,,97.79
Балтаси,Муниципальный,2018,,0,,99.21
Елабуга,Региональный,2024,101,12,11.88,40.51
Елабуга,Муниципальный,2023,14,5,35.71,89.75
Арск,Региональный,2021,116,50,43.1,56.85
Зеленодольск,Заключительный,2019,188,,ошибка,
Апастово,Заключительный,2023,32,13,40.62,82.93
Апастово,Заключительный,2019,ошибка,0,,96.4
